specif;value;prodline
posX;-20.0;CL01
posY;100.0;CL01
posX;-25.0;CL02
posY;95.0;CL02
posX;-20.0;CL03
posY;90.0;CL03
diam;73.0;PM50
posX;40.0;PM50
posY;0.0;PM50
diam;70.0;PM51
posX;30.0;PM51
posY;0.0;PM51
diam;96.0;PM52
posX;20.0;PM52
posY;0.0;PM52
diam;99.0;PM53
posX;10.0;PM53
posY;0.0;PM53
diam;127.0;PM54
posX;0.0;PM54
posY;0.0;PM54
diam;99.0;PE02
posX;50.0;PE02
posY;0.0;PE02
diam;83.7;PE01
posX;65.0;PE01
posY;0.0;PE01
diam;73.0;PE04
posX;80.0;PE04
posY;0.0;PE04
posX;-60.0;LA01
posY;80.0;LA01
posX;-60.0;LA02
posY;70.0;LA02
posX;-25.0;LA03
posY;60.0;LA03
posX;-25.0;LA04
posY;50.0;LA04
cad;5564.0;LA04
cad;5618.0;LA03
cad;4824.0;LA02
cad;4782.0;LA01
posX;100.0;PD05
posX;100.0;PD06
posX;100.0;PD07
posX;100.0;PD08
posX;100.0;PD09
posX;100.0;PD10
posX;100.0;PD11
posX;100.0;PD12
posX;100.0;PD13
posX;100.0;PD14
posX;100.0;PD15
posX;100.0;PD16
posX;100.0;PD17
posX;100.0;PD18
posX;100.0;PD19
posX;100.0;PD20
posX;100.0;PD21
posX;100.0;PD22
posX;100.0;PD23
posX;100.0;PD24
posX;100.0;PD25
posX;100.0;PD26
posX;100.0;PD27
posX;100.0;PD28
posX;100.0;PDSL5&6
posX;100.0;PDSL7&8
posX;100.0;PDSL12&13
posX;100.0;PDSL19&20
posX;100.0;PDSL22&23
