desi;desc;wshop;process
CL01;Littel 1;MPC;COIL
CL02;Littel 2;MPC;COIL
CL03;Littel 3;MPC;COIL
PM50;MTD 73;MTD;ENDMTD
PM51;MTD 70;MTD;ENDMTD
PM52;MTD 96;MTD;ENDMTD
PM53;MTD 99;MTD;ENDMTD
PM54;MTD 127;MTD;ENDMTD
PE02;EOLE 99;EOLE;EOLE
PE01;EOLE 83.7;EOLE;EOLE
PE04;EOLE 73;EOLE;EOLE
LA01;LV1;MPC;COAT
LA02;LV2;MPC;COAT
LA03;LV3;MPC;COAT
LA04;LV4;MPC;COAT
PD05;DD05;DD;END
PD06;DD06;DD;END
PD07;DD07;DD;END
PD08;DD08;DD;END
PD09;DD09;DD;END
PD10;DD10;DD;END
PD11;DD11;DD;END
PD12;DD12;DD;END
PD13;DD13;DD;END
PD14;DD14;DD;END
PD15;DD15;DD;END
PD16;DD16;DD;END
PD17;DD17;DD;END
PD18;DD18;DD;END
PD19;DD19;DD;END
PD20;DD20;DD;END
PD21;DD21;DD;END
PD22;DD22;DD;END
PD23;DD23;DD;END
PD24;DD24;DD;END
PD25;DD25;DD;END
PD26;DD26;DD;END
PD27;DD27;DD;END
PD28;DD28;DD;END
PDSL5&6;DD5&6;DD;END
PDSL7&8;DD7&8;DD;END
PDSL12&13;DD12&13;DD;END
PDSL19&20;DD19&20;DD;END
PDSL22&23;DD22&23;DD;END
CLSL01&02;;;
CLSL03;;;
LASL01;;;
LASL02;;;
PDSLEVD;;;
PDSLSorting;;;
PDSLVISMAE9&10;;;
SC31;;;
SC33;;;
SCSL5&6;;;
SCSL7&8;;;
SCSL9&10;;;
SCSL12&13;;;
PESLCDV;;;
PESLEVA;;;
PESLEVB;;;
